id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
27,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,NO2,8,30,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,654122,6853046
28,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,NO2,8,31,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,654122,6853046
29,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,NO2,8,31,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,654122,6853046
30,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,NO2,8,39,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,652382,6862336
31,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,NO2,8,40,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,652382,6862336
32,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,NO2,8,38,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,652382,6862336
33,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,NO2,8,37,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,652382,6862336
34,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,NO2,8,37,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,652382,6862336
35,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,NO2,8,86,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,652843,6869659
36,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,NO2,8,87,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,652843,6869659
37,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,NO2,8,84,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,652843,6869659
38,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,NO2,8,83,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,652843,6869659
39,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,NO2,8,83,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,652843,6869659
40,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,NO2,8,76,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,656891,6859993
41,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,NO2,8,75,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,656891,6859993
42,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,NO2,8,67,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,656891,6859993
43,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,NO2,8,66,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,656891,6859993
44,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,NO2,8,65,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,656891,6859993
45,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,NO2,8,27,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,673184,6860091
46,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,NO2,8,27,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,673184,6860091
47,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,NO2,8,26,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,673184,6860091
48,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,NO2,8,26,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,673184,6860091
49,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,NO2,8,27,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,673184,6860091
50,YVELINES,VERSAILLES,78646,VERSAILLES,4029,Periurb.,NO2,8,26,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,636191,6855823
51,YVELINES,VERSAILLES,78646,VERSAILLES,4029,Periurb.,NO2,8,23,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,636191,6855823
52,YVELINES,VERSAILLES,78646,VERSAILLES,4029,Periurb.,NO2,8,22,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,636191,6855823
53,YVELINES,VERSAILLES,78646,VERSAILLES,4029,Periurb.,NO2,8,24,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,636191,6855823
54,YVELINES,VERSAILLES,78646,VERSAILLES,4029,Periurb.,NO2,8,23,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,636191,6855823
55,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,NO2,8,29,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,668840,6872926
56,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,NO2,8,28,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,668840,6872926
57,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,NO2,8,28,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,668840,6872926
58,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,NO2,8,27,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,668840,6872926
59,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,NO2,8,28,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,668840,6872926
60,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,NO2,8,26,ug.m-3,annuelle,2012/12/31 23:00:00+00,2013/12/31 23:00:00+00,1,659365,6876912
61,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,NO2,8,28,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,659365,6876912
62,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,NO2,8,27,ug.m-3,annuelle,2014/12/31 23:00:00+00,2015/12/31 23:00:00+00,1,659365,6876912
63,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,NO2,8,25,ug.m-3,annuelle,2015/12/31 23:00:00+00,2016/12/31 23:00:00+00,1,659365,6876912
64,VAL-D'OISE,VAUDHERLAND,95633,GONESSE,4024,Periurb.,NO2,8,26,ug.m-3,annuelle,2016/12/31 23:00:00+00,2017/12/31 23:00:00+00,1,659365,6876912
65,PARIS,PARIS-15E-ARRONDISSEMENT,75115,PARIS stade Lenglen,4179,Urbaine,NO2,8,31,ug.m-3,annuelle,2013/12/31 23:00:00+00,2014/12/31 23:00:00+00,1,646401,6859173
