id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
1,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM10,5,16.6,ug.m-3,annuelle,1388530800000,1420066800000,1,643355,6807285
2,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM10,5,15.9,ug.m-3,annuelle,1420066800000,1451602800000,1,643355,6807285
3,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM10,5,13.8,ug.m-3,annuelle,1451602800000,1483225200000,1,643355,6807285
4,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM10,5,12.7,ug.m-3,annuelle,1483225200000,1514761200000,1,643355,6807285
5,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,PM10,5,28.2,ug.m-3,annuelle,1388530800000,1420066800000,1,651036,6863568
6,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,PM10,5,29,ug.m-3,annuelle,1420066800000,1451602800000,1,651036,6863568
7,PARIS,PARIS-2E-ARRONDISSEMENT,75102,Place de l'Opéra,4118,Trafic,PM10,5,28.2,ug.m-3,annuelle,1451602800000,1483225200000,1,651036,6863568
8,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM10,5,20.2,ug.m-3,annuelle,1388530800000,1420066800000,1,654122,6853046
9,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM10,5,19.3,ug.m-3,annuelle,1420066800000,1451602800000,1,654122,6853046
10,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM10,5,20.2,ug.m-3,annuelle,1483225200000,1514761200000,1,654122,6853046
11,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM10,5,22.3,ug.m-3,annuelle,1388530800000,1420066800000,1,652382,6862336
12,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM10,5,22.9,ug.m-3,annuelle,1420066800000,1451602800000,1,652382,6862336
13,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM10,5,22.3,ug.m-3,annuelle,1451602800000,1483225200000,1,652382,6862336
14,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM10,5,20.7,ug.m-3,annuelle,1483225200000,1514761200000,1,652382,6862336
15,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM10,5,45.6,ug.m-3,annuelle,1388530800000,1420066800000,1,652843,6869659
16,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM10,5,42.4,ug.m-3,annuelle,1420066800000,1451602800000,1,652843,6869659
17,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM10,5,42.4,ug.m-3,annuelle,1451602800000,1483225200000,1,652843,6869659
18,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM10,5,42.8,ug.m-3,annuelle,1483225200000,1514761200000,1,652843,6869659
19,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM10,5,34.4,ug.m-3,annuelle,1388530800000,1420066800000,1,656891,6859993
20,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM10,5,33.8,ug.m-3,annuelle,1420066800000,1451602800000,1,656891,6859993
21,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM10,5,31.2,ug.m-3,annuelle,1451602800000,1483225200000,1,656891,6859993
22,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM10,5,29.1,ug.m-3,annuelle,1483225200000,1514761200000,1,656891,6859993
23,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,PM10,5,20.3,ug.m-3,annuelle,1388530800000,1420066800000,1,673184,6860091
24,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,PM10,5,18.9,ug.m-3,annuelle,1420066800000,1451602800000,1,673184,6860091
25,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,PM10,5,19.6,ug.m-3,annuelle,1451602800000,1483225200000,1,673184,6860091
26,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,PM10,5,19.5,ug.m-3,annuelle,1483225200000,1514761200000,1,673184,6860091
27,SEINE-ET-MARNE,COULOMMIERS,77131,RD934 Coulommiers,4173,Trafic,PM10,5,30.5,ug.m-3,annuelle,1388530800000,1420066800000,1,706192,6856162
28,SEINE-ET-MARNE,COULOMMIERS,77131,RD934 Coulommiers,4173,Trafic,PM10,5,31.6,ug.m-3,annuelle,1420066800000,1451602800000,1,706192,6856162
29,SEINE-ET-MARNE,COULOMMIERS,77131,RD934 Coulommiers,4173,Trafic,PM10,5,29.5,ug.m-3,annuelle,1451602800000,1483225200000,1,706192,6856162
30,SEINE-ET-MARNE,COULOMMIERS,77131,RD934 Coulommiers,4173,Trafic,PM10,5,26.6,ug.m-3,annuelle,1483225200000,1514761200000,1,706192,6856162
31,PARIS,PARIS-15E-ARRONDISSEMENT,75115,PARIS stade Lenglen,4179,Urbaine,PM10,5,20.9,ug.m-3,annuelle,1388530800000,1420066800000,1,646401,6859173
32,PARIS,PARIS-15E-ARRONDISSEMENT,75115,PARIS stade Lenglen,4179,Urbaine,PM10,5,21.7,ug.m-3,annuelle,1420066800000,1451602800000,1,646401,6859173
33,PARIS,PARIS-15E-ARRONDISSEMENT,75115,PARIS stade Lenglen,4179,Urbaine,PM10,5,19.1,ug.m-3,annuelle,1483225200000,1514761200000,1,646401,6859173
34,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM10,5,19.3,ug.m-3,annuelle,1420066800000,1451602800000,1,613827,6837698
35,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM10,5,15.4,ug.m-3,annuelle,1451602800000,1483225200000,1,613827,6837698
36,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM10,5,14.5,ug.m-3,annuelle,1483225200000,1514761200000,1,613827,6837698
37,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM10,5,22,ug.m-3,annuelle,1388530800000,1420066800000,1,648292,6870262
38,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM10,5,21.6,ug.m-3,annuelle,1420066800000,1451602800000,1,648292,6870262
39,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM10,5,20.5,ug.m-3,annuelle,1451602800000,1483225200000,1,648292,6870262
40,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM10,5,19.9,ug.m-3,annuelle,1483225200000,1514761200000,1,648292,6870262
41,ESSONNE,BOIS-HERPIN,91075,Zone rurale Sud,4066,Rurale re.,PM10,5,14.1,ug.m-3,annuelle,1514761200000,1546297200000,1,643355,6807285
42,VAL-DE-MARNE,VITRY-SUR-SEINE,94081,VITRY-SUR-SEINE,4034,Urbaine,PM10,5,21.2,ug.m-3,annuelle,1514761200000,1546297200000,1,654122,6853046
43,PARIS,PARIS-4E-ARRONDISSEMENT,75104,PARIS Centre,4143,Urbaine,PM10,5,20.7,ug.m-3,annuelle,1514761200000,1546297200000,1,652382,6862336
44,SEINE-SAINT-DENIS,SAINT-DENIS,93066,A1 - Saint-Denis,4058,Trafic,PM10,5,41,ug.m-3,annuelle,1514761200000,1546297200000,1,652843,6869659
45,PARIS,PARIS-12E-ARRONDISSEMENT,75112,Bld Périphérique Est,4329,Trafic,PM10,5,28.7,ug.m-3,annuelle,1514761200000,1546297200000,1,656891,6859993
46,SEINE-ET-MARNE,LOGNES,77258,LOGNES,4098,Urbaine,PM10,5,18.8,ug.m-3,annuelle,1514761200000,1546297200000,1,673184,6860091
47,SEINE-ET-MARNE,COULOMMIERS,77131,RD934 Coulommiers,4173,Trafic,PM10,5,27.1,ug.m-3,annuelle,1514761200000,1546297200000,1,706192,6856162
48,PARIS,PARIS-15E-ARRONDISSEMENT,75115,PARIS stade Lenglen,4179,Urbaine,PM10,5,19.7,ug.m-3,annuelle,1514761200000,1546297200000,1,646401,6859173
49,YVELINES,RAMBOUILLET,78517,Rambouillet,4181,Periurb.,PM10,5,15.2,ug.m-3,annuelle,1514761200000,1546297200000,1,613827,6837698
50,HAUTS-DE-SEINE,GENNEVILLIERS,92036,GENNEVILLIERS,4002,Urbaine,PM10,5,20.9,ug.m-3,annuelle,1514761200000,1546297200000,1,648292,6870262
