Year,Site,Annual Mean PM2.5 concentration (ug/m3),95% confidence interval for 'All sites' (+/-),Annual capture rate (%)
2017,Bristol St Paul's,9.65290660534049,,89.3493150684932
2018,Bristol St Paul's,12.0379162498214,,79.8744292237443
2019,Bristol St Paul's,10.7965765285733,,85.6963470319635
2009,Cardiff Centre,12.5318520269472,,96.5867579908676
2010,Cardiff Centre,13.8003500269251,,84.7945205479452
2011,Cardiff Centre,13.245810914681,,74.2579908675799
2012,Cardiff Centre,12.3147493573265,,70.856102003643
2013,Cardiff Centre,13.51017808558,,92.3059360730594
2014,Cardiff Centre,11.6486976083353,,96.4155251141552
2015,Cardiff Centre,9.55910006715917,,84.9885844748858
2016,Cardiff Centre,9.66219835907336,,94.3533697632058
2017,Cardiff Centre,9.08364394310937,,93.1050228310502
2018,Cardiff Centre,10.1557786991449,,88.1050228310502
2019,Cardiff Centre,11.7942383160899,,63.9954337899543
2015,Chesterfield Loundsley Green,7.77912544519193,,57.6940639269406
2016,Chesterfield Loundsley Green,10.2145764374157,,92.8620218579235
2017,Chesterfield Loundsley Green,8.71187257552604,,97.1118721461187
2018,Chesterfield Loundsley Green,9.58675870348139,,95.0913242009132
2019,Chesterfield Loundsley Green,8.36643621292579,,88.1392694063927
2009,Chesterfield,13.6465253094742,,93.1392694063927
2010,Chesterfield,13.059649122807,,94.3493150684932
2011,Chesterfield,14.1186420629288,,96.5068493150685
2012,Chesterfield,12.4590835713399,,91.6780510018215
2013,Chesterfield,11.7151495126384,,69.0981735159817
2014,Chesterfield,13.8833172922682,,35.5821917808219
2009,London Bloomsbury,16.3043150081771,,90.7420091324201
2010,London Bloomsbury,16.3962737843552,,86.3926940639269
2011,London Bloomsbury,17.4346256840144,,98.0479452054795
2012,London Bloomsbury,16.1886487111317,,98.485883424408
2013,London Bloomsbury,11.6866211478133,,61.8607305936073
2014,London Bloomsbury,14.6018184007707,,94.7945205479452
2015,London Bloomsbury,10.9285475991898,,95.810502283105
2016,London Bloomsbury,12.0180193063997,,95.525956284153
2017,London Bloomsbury,10.9583549872743,,94.189497716895
2018,London Bloomsbury,10.3594791409529,,92.4885844748858
2019,London Bloomsbury,10.7505141388175,,97.6940639269406
2014,Coventry Allesley,12.0900129421915,,52.9223744292237
2015,Coventry Allesley,10.9396530662106,,93.4474885844749
2016,Coventry Allesley,10.3745805467558,,97.0286885245902
2017,Coventry Allesley,11.3808266634811,,95.5593607305936
2018,Coventry Allesley,10.6345566860465,,94.2465753424657
2019,Coventry Allesley,9.09717486669898,,94.2009132420091
2016,Derry Rosemount,9.36539513922421,,70.7308743169399
2017,Derry Rosemount,8.01932903533906,,95.6164383561644
2018,Derry Rosemount,9.6746445214482,,95.5365296803653
2019,Derry Rosemount,9.22555783910746,,77.7625570776256
2009,Derry,8.26565008025682,,14.2237442922374
2010,Derry,19.3437798585897,,59.7374429223744
2011,Derry,14.2051759834369,,55.1369863013699
2012,Derry,15.0002414001207,,94.3192167577413
2013,Derry,11.4893225661732,,76.3356164383562
2014,Derry,11.9673055521207,,92.3173515981735
2015,Derry,11.7525367472736,,96.3013698630137
2016,Derry,14.144131097561,,14.936247723133
2009,Eastbourne,10.1921728971963,,39.0867579908676
2010,Eastbourne,13.4144495972663,,93.5388127853881
2011,Eastbourne,16.3662561003951,,98.2420091324201
2012,Eastbourne,15.6541900107283,,95.5031876138434
2013,Eastbourne,15.2750636426753,,98.6529680365297
2014,Eastbourne,12.2349758890898,,75.7534246575343
2015,Eastbourne,10.3780496357784,,67.3858447488584
2016,Eastbourne,12.7073245952197,,73.8274134790528
2017,Eastbourne,11.3436173995496,,96.3127853881278
2018,Eastbourne,12.7091372068603,,97.8424657534247
2019,Eastbourne,10.4921318770227,,98.7671232876712
2009,Salford Eccles,13.9897211720227,,96.62100456621
2010,Salford Eccles,14.9867426589022,,92.134703196347
2011,Salford Eccles,16.0734477862398,,88.4360730593607
2012,Salford Eccles,12.776967043658,,93.6133879781421
2013,Salford Eccles,15.0308720930233,,98.1735159817352
2014,Salford Eccles,15.4839403774492,,94.9657534246575
2015,Salford Eccles,10.5862222743809,,97.2716894977169
2016,Salford Eccles,10.4673524369336,,92.9644808743169
2017,Salford Eccles,10.7097888675624,,95.1598173515982
2018,Salford Eccles,10.5616270861833,,83.4474885844749
2019,Salford Eccles,9.45349543066027,,99.9315068493151
2009,Edinburgh St Leonards,8.45695761796134,,95.0799086757991
2010,Edinburgh St Leonards,9.48828411032463,,93.5388127853881
2011,Edinburgh St Leonards,11.6590644635792,,98.1050228310502
2012,Edinburgh St Leonards,10.9540321297916,,71.5733151183971
2013,Edinburgh St Leonards,7.51643883631265,,97.7054794520548
2014,Edinburgh St Leonards,9.10209132101778,,65.5022831050228
2015,Edinburgh St Leonards,6.38662420382166,,86.027397260274
2016,Edinburgh St Leonards,6.35023456790123,,92.2131147540984
2017,Edinburgh St Leonards,6.63660436137072,,95.2739726027397
2018,Edinburgh St Leonards,6.3095639428362,,93.458904109589
2019,Edinburgh St Leonards,6.3423531712086,,93.4132420091324
2009,Glasgow Centre,11.6578366445916,,98.2534246575343
2010,Glasgow Centre,12.4375792507205,,99.0296803652968
2011,Glasgow Centre,10.1695715323166,,94.3150684931507
2012,Glasgow Centre,9.60656044985942,,60.7354280510018
2013,Glasgow Townhead,5.35111482720178,,20.4794520547945
2014,Glasgow Townhead,7.49546560778788,,89.12100456621
2015,Glasgow Townhead,6.54666337732824,,92.5456621004566
2016,Glasgow Townhead,6.83874660686888,,96.4594717668488
2017,Glasgow Townhead,7.73385922047702,,98.1164383561644
2018,Glasgow Townhead,6.8865084930842,,94.0867579908676
2019,Glasgow Townhead,6.69833747412008,,99.2465753424657
2018,London Westminster,11.7577044025157,,72.6027397260274
2019,London Westminster,12.4537532677704,,91.7009132420091
2019,London Honor Oak Park,9.93329674471731,,99.9429223744292
2009,London Harrow Stanmore,13.4004172461752,,82.0776255707762
2010,London Harrow Stanmore,12.8341361801849,,87.6826484018265
2011,London Harrow Stanmore,15.9560772434684,,90.4452054794521
2012,London Harrow Stanmore,12.2154738878143,,88.2855191256831
2013,London Harrow Stanmore,13.4695431472081,,85.4566210045662
2014,London Harrow Stanmore,12.6689158853823,,86.4497716894977
2015,London Harrow Stanmore,10.8286747578767,,93.1164383561644
2016,London Harrow Stanmore,11.1736795663683,,90.3119307832423
2017,London Harrow Stanmore,15.8826542960871,,28.2990867579909
2009,Hull Freetown,14.0222470792941,,91.8493150684932
2010,Hull Freetown,9.79116757410768,,94.3493150684932
2011,Hull Freetown,12.4337702175125,,81.8721461187215
2012,Hull Freetown,10.7334989354152,,96.2431693989071
2013,Hull Freetown,12.3589587953776,,97.796803652968
2014,Hull Freetown,12.3515333013896,,95.296803652968
2015,Hull Freetown,10.8777736318408,,91.7808219178082
2016,Hull Freetown,11.242616889313,,95.4462659380692
2017,Hull Freetown,10.2209832561454,,96.1301369863014
2018,Hull Freetown,10.6806090304515,,97.8424657534247
2019,Hull Freetown,10.7573206280714,,95.2397260273973
2009,London N. Kensington,13.8545132743363,,96.7465753424657
2010,London N. Kensington,13.9594577942083,,92.6369863013699
2011,London N. Kensington,16.3330426115126,,91.62100456621
2012,London N. Kensington,14.6081028938907,,88.5132058287796
2013,London N. Kensington,14.6885908440629,,95.7534246575343
2014,London N. Kensington,15.8790683874796,,76.9520547945205
2015,London N. Kensington,10.8578078962876,,96.8607305936073
2016,London N. Kensington,12.1447010209042,,93.6703096539162
2017,London N. Kensington,11.6035741348825,,90.3881278538813
2018,London N. Kensington,9.16243377483444,,99.9771689497717
2019,London N. Kensington,9.57916164163705,,99.5776255707762
2009,Leamington Spa,12.8982950509117,,96.4155251141552
2010,Leamington Spa,16.030929038282,,97.8082191780822
2011,Leamington Spa,15.920240280327,,68.4132420091324
2012,Leamington Spa,11.4063900701069,,99.0551001821494
2013,Leamington Spa,12.9856244641326,,79.8858447488584
2014,Leamington Spa,12.9486248236953,,97.1232876712329
2015,Leamington Spa,12.262141565487,,88.37899543379
2016,Leamington Spa,10.4923895060269,,96.3342440801457
2017,Leamington Spa,10.6732974910394,,95.5479452054795
2018,Leamington Spa,9.80204451971933,,94.3607305936073
2019,Leamington Spa,9.82677174424071,,97.1232876712329
2013,Leicester University,12.2452775073028,,23.4474885844749
2014,Leicester University,13.307316783466,,96.1073059360731
2015,Leicester University,12.019491226004,,96.9292237442922
2016,Leicester University,11.550549583283,,94.2509107468124
2017,Leicester University,10.592311276794,,97.9908675799087
2018,Leicester University,10.4235835859175,,97.9223744292238
2019,Leicester University,11.2238765373699,,96.5296803652968
2009,Leeds Centre,13.7038817449826,,94.9885844748858
2010,Leeds Centre,14.9406730658032,,98.7100456621005
2011,Leeds Centre,16.077443876945,,96.1073059360731
2012,Leeds Centre,15.762918690076,,91.4275956284153
2013,Leeds Centre,13.7339736933195,,65.958904109589
2014,Leeds Centre,13.0212712560386,,94.5205479452055
2015,Leeds Centre,11.4333254100309,,96.0502283105023
2016,Leeds Centre,9.59117859640942,,97.6548269581056
2017,Leeds Centre,9.83031473031473,,97.5684931506849
2018,Leeds Centre,11.5313420124103,,93.824200913242
2019,Leeds Centre,12.3086154958429,,94.7374429223744
2009,Leicester Centre,15.2517104789341,,63.4018264840183
2010,Leicester Centre,15.2935906271537,,66.2557077625571
2011,Leicester Centre,14.4432112467629,,92.5684931506849
2012,Leicester Centre,14.2612847222222,,78.6885245901639
2013,Leicester Centre,12.4959206419973,,51.2100456621005
2009,Manchester Piccadilly,11.6213945673481,,81.5296803652968
2010,Manchester Piccadilly,17.8996920369556,,25.9474885844749
2011,Manchester Piccadilly,13.7333162546433,,89.12100456621
2012,Manchester Piccadilly,14.0793127794775,,96.7440801457195
2013,Manchester Piccadilly,12.5010095183155,,79.1552511415525
2014,Manchester Piccadilly,11.8580545670225,,96.2328767123288
2015,Manchester Piccadilly,10.4775497434614,,91.2214611872146
2016,Manchester Piccadilly,10.205356900068,,83.7317850637523
2017,Manchester Piccadilly,8.37209415190488,,94.0867579908676
2018,Manchester Piccadilly,10.8586123825584,,94.7716894977169
2019,Manchester Piccadilly,11.5030227948464,,92.1461187214612
2009,Newcastle Centre,10.953937947494,,95.662100456621
2010,Newcastle Centre,10.3917989748719,,91.3127853881278
2011,Newcastle Centre,11.8109791258217,,98.9840182648402
2012,Newcastle Centre,9.93880614247777,,98.5997267759563
2013,Newcastle Centre,10.3833528584817,,97.4429223744292
2014,Newcastle Centre,9.55097904026475,,82.7853881278539
2015,Newcastle Centre,10.4846412159774,,64.5890410958904
2016,Newcastle Centre,8.92535700981001,,91.6780510018215
2017,Newcastle Centre,6.99427645611157,,97.4086757990868
2018,Newcastle Centre,8.96537789972562,,91.5296803652968
2019,Newcastle Centre,8.83276721311475,,94.0068493150685
2009,Norwich Lakenfields,11.5878514056225,,22.7397260273973
2010,Norwich Lakenfields,12.6456529691501,,93.6187214611872
2011,Norwich Lakenfields,14.1373072720651,,94.0296803652968
2012,Norwich Lakenfields,13.837122579093,,94.6379781420765
2013,Norwich Lakenfields,13.233691164327,,96.7694063926941
2014,Norwich Lakenfields,12.0173726052391,,87.5913242009132
2015,Norwich Lakenfields,12.0731390728477,,86.1872146118722
2016,Norwich Lakenfields,10.8834742057709,,78.1193078324226
2017,Norwich Lakenfields,12.0317318035138,,95.513698630137
2018,Norwich Lakenfields,10.243813050696,,89.3949771689498
2019,Norwich Lakenfields,10.3342949260042,,97.1917808219178
2009,Nottingham Centre,14.0573472204794,,90.9703196347032
2010,Nottingham Centre,15.8605797967723,,76.3926940639269
2011,Nottingham Centre,13.2150119241873,,90.9474885844749
2012,Nottingham Centre,11.5705071455672,,90.0159380692168
2013,Nottingham Centre,12.2348961978073,,97.8767123287671
2014,Nottingham Centre,12.2112328422113,,90.6506849315068
2015,Nottingham Centre,11.4979541397776,,83.1392694063927
2016,Nottingham Centre,11.9203631185475,,95.9357923497268
2017,Nottingham Centre,11.57337995338,,97.9452054794521
2018,Nottingham Centre,9.98720316622691,,95.1826484018265
2019,Nottingham Centre,10.8331061905321,,97.1803652968037
2009,Newport,11.8787948482061,,99.2694063926941
2010,Newport,14.8036214953271,,97.7168949771689
2011,Newport,16.7881957415017,,61.1187214611872
2012,Newport,9.70500545388438,,93.9321493624772
2013,Newport,12.9529028829547,,85.9246575342466
2014,Newport,12.0209778420039,,94.7945205479452
2015,Newport,9.56815843005863,,95.3995433789954
2016,Newport,10.1842559309849,,95.0136612021858
2017,Newport,11.7827188940092,,54.4977168949772
2018,Newport,8.09805139530215,,56.8607305936073
2019,Newport,9.5104680778032,,99.7716894977169
2017,Northampton Spring Park,9.86596359925157,,67.1118721461187
2018,Northampton Spring Park,10.9952729851099,,96.5981735159817
2019,Northampton Spring Park,11.5474469573327,,97.9223744292238
2009,Oxford St Ebbes,11.4381968588898,,95.2168949771689
2010,Oxford St Ebbes,14.3459985751603,,96.1415525114155
2011,Oxford St Ebbes,11.7511808835788,,82.1689497716895
2012,Oxford St Ebbes,11.7034785067873,,80.5100182149363
2013,Oxford St Ebbes,13.7434205721242,,93.7785388127854
2014,Oxford St Ebbes,9.60855841708543,,72.6940639269406
2015,Oxford St Ebbes,10.1105296745373,,89.4406392694064
2016,Oxford St Ebbes,14.1796875,,12.3861566484517
2017,Oxford St Ebbes,10.8530668777206,,86.541095890411
2018,Oxford St Ebbes,9.66468423551757,,96.1643835616438
2019,Oxford St Ebbes,8.93580951812977,,95.7077625570776
2009,Plymouth Centre,10.4877916440586,,21.0388127853881
2010,Plymouth Centre,11.0213284582572,,93.6643835616438
2011,Plymouth Centre,10.5908259462502,,81.1301369863014
2012,Plymouth Centre,12.0102745494357,,67.5887978142077
2013,Plymouth Centre,12.0067428427926,,90.9132420091324
2014,Plymouth Centre,11.7297817127156,,74.7831050228311
2015,Plymouth Centre,11.331393920786,,74.3607305936073
2016,Plymouth Centre,10.7039119804401,,88.4676684881603
2017,Plymouth Centre,9.1609040634768,,94.9543378995434
2018,Plymouth Centre,9.91576737868873,,92.4543378995434
2019,Plymouth Centre,11.1231899771112,,94.7602739726027
2009,Portsmouth,11.267669356811,,93.3561643835616
2010,Portsmouth,12.1477637001984,,74.7831050228311
2011,Portsmouth,15.8391930155734,,96.7579908675799
2012,Portsmouth,13.5925565555826,,93.6020036429873
2013,Portsmouth,13.9364607355262,,94.0525114155251
2014,Portsmouth,14.1449713716704,,91.7123287671233
2015,Portsmouth,10.3956961400913,,92.5684931506849
2016,Portsmouth,11.6262105395548,,90.5168488160291
2017,Portsmouth,11.1449885583524,,74.8287671232877
2018,Portsmouth,12.3776881015769,,55.7420091324201
2019,Portsmouth,8.91467488899852,,92.5570776255708
2009,Preston,11.8630843958713,,75.2054794520548
2010,Preston,11.3523856249233,,93.0707762557078
2011,Preston,11.4391062895519,,88.3904109589041
2012,Preston,11.1240300375469,,90.9608378870674
2013,Preston,11.625837128315,,85.2283105022831
2014,Preston,12.122389808171,,77.9566210045662
2015,Preston,9.95374167093798,,89.0867579908676
2016,Preston,9.75818203393853,,95.9357923497268
2017,Preston,8.64757045675413,,93.972602739726
2018,Preston,9.27939596514265,,95.6278538812785
2019,Preston,9.38305829228243,,97.3287671232877
2009,Reading New Town,12.2952787717881,,98.8926940639269
2010,Reading New Town,13.3648249683678,,81.1986301369863
2011,Reading New Town,13.815465519302,,95.513698630137
2012,Reading New Town,12.2605961807173,,97.7686703096539
2013,Reading New Town,9.91568677141409,,90.0913242009132
2014,Reading New Town,9.83195973576596,,72.5799086757991
2015,Reading New Town,7.42087133941431,,95.1141552511416
2016,Reading New Town,9.0501692365551,,90.8128415300546
2017,Reading New Town,9.66620782068461,,93.7100456621005
2018,Reading New Town,9.11457212713936,,93.37899543379
2019,Reading New Town,8.39046762589928,,38.0821917808219
2009,Southend-on-Sea,13.234821876568,,91.0045662100457
2010,Southend-on-Sea,14.2272780169906,,98.0936073059361
2011,Southend-on-Sea,12.534027519524,,61.3926940639269
2012,Southend-on-Sea,9.91217183770883,,71.5505464480874
2013,Southend-on-Sea,10.6367280747276,,87.9908675799087
2014,Southend-on-Sea,11.8065903510289,,66.0159817351598
2015,Southend-on-Sea,10.6242828837431,,95.6392694063927
2016,Southend-on-Sea,11.7270277109958,,89.9704007285975
2017,Southend-on-Sea,12.3038575667656,,84.634703196347
2018,Southend-on-Sea,12.4737513786041,,72.4543378995434
2019,Southend-on-Sea,10.6645504672897,,97.7168949771689
2013,Sheffield Devonshire Green,8.96023489932886,,13.6073059360731
2014,Sheffield Devonshire Green,12.330833863781,,89.6689497716895
2015,Sheffield Devonshire Green,8.68902658045977,,63.5616438356164
2016,Sheffield Devonshire Green,9.52905777248362,,95.5714936247723
2017,Sheffield Devonshire Green,8.93820255164034,,93.9497716894977
2018,Sheffield Devonshire Green,11.6355282147316,,91.4383561643836
2019,Sheffield Devonshire Green,10.456233101333,,96.7694063926941
2009,Sheffield Centre,14.0369264186804,,84.0867579908676
2010,Sheffield Centre,15.7243656586722,,98.527397260274
2011,Sheffield Centre,17.3721509038512,,87.1461187214612
2012,Sheffield Centre,16.237658674189,,96.8579234972678
2013,Sheffield Centre,16.8915958451369,,60.4452054794521
2009,Southampton Centre,13.4039275634995,,97.0776255707762
2010,Southampton Centre,13.2917361637604,,75.2853881278539
2011,Southampton Centre,15.8433615116857,,91.8264840182648
2012,Southampton Centre,14.5360179499291,,96.4025500910747
2013,Southampton Centre,15.0105715969358,,96.8607305936073
2014,Southampton Centre,14.6720880681818,,96.4383561643836
2015,Southampton Centre,9.96042547738049,,89.0753424657534
2016,Southampton Centre,10.6843676814988,,38.8888888888889
2017,Southampton Centre,11.1524945491856,,89.0068493150685
2018,Southampton Centre,11.8796396159411,,86.7922374429224
2019,Southampton Centre,9.62792751409774,,97.1689497716895
2009,Stoke-on-Trent Centre,14.8139886139189,,98.2534246575343
2010,Stoke-on-Trent Centre,16.5195035460993,,96.5753424657534
2011,Stoke-on-Trent Centre,16.4347303951003,,95.0570776255708
2012,Stoke-on-Trent Centre,14.50794070937,,86.0200364298725
2013,Stoke-on-Trent Centre,13.783927940657,,96.9520547945205
2014,Stoke-on-Trent Centre,13.3542197253433,,91.4383561643836
2015,Stoke-on-Trent Centre,11.6913246497911,,92.8995433789954
2016,Stoke-on-Trent Centre,11.666523860526,,95.6625683060109
2017,Stoke-on-Trent Centre,8.65904449307075,,93.9041095890411
2018,Stoke-on-Trent Centre,9.44700210161948,,92.3401826484018
2019,Stoke-on-Trent Centre,9.46984598266573,,97.4657534246575
2009,Sunderland Silksworth,9.9437984496124,,64.7945205479452
2010,Sunderland Silksworth,10.7913116524661,,95.1255707762557
2011,Sunderland Silksworth,14.8939912643135,,96.7009132420091
2012,Sunderland Silksworth,9.6529702970297,,68.9890710382514
2013,Sunderland Silksworth,9.07630385487528,,90.6164383561644
2014,Sunderland Silksworth,10.2463006806748,,77.1461187214612
2015,Sunderland Silksworth,7.10353110737449,,95.0456621004566
2016,Sunderland Silksworth,8.02626953125,,93.2604735883424
2017,Sunderland Silksworth,7.18114108082257,,95.4794520547945
2018,Sunderland Silksworth,8.43539318728631,,90.148401826484
2019,Sunderland Silksworth,9.39820064377682,,85.1141552511416
2009,London Teddington,13.2067452067452,,98.8356164383562
2010,London Teddington,14.410119047619,,76.7123287671233
2011,London Teddington,17.4229779937125,,79.8858447488584
2012,London Teddington,13.6023773452978,,97.6889799635701
2013,London Teddington,16.7884802835623,,51.5296803652968
2013,London Teddington Bushy Park,11.2117727272727,,25.1141552511416
2014,London Teddington Bushy Park,14.1366748920419,,37.0091324200913
2015,London Teddington Bushy Park,9.67436075597554,,82.1461187214612
2016,London Teddington Bushy Park,8.96315114190403,,88.7295081967213
2017,London Teddington Bushy Park,10.419752383663,,80.2168949771689
2018,London Teddington Bushy Park,11.3687158794208,,96.1872146118722
2019,London Teddington Bushy Park,11.8218818916932,,93.1735159817352
2009,Wirral Tranmere,8.50624455416788,,78.6073059360731
2010,Wirral Tranmere,8.92143467122118,,93.5730593607306
2011,Wirral Tranmere,10.0832743571597,,96.7808219178082
2012,Wirral Tranmere,9.67192026886082,,98.2354280510018
2013,Wirral Tranmere,10.7523549650018,,96.2214611872146
2014,Wirral Tranmere,8.36755711775044,,64.9543378995434
2015,Wirral Tranmere,7.2038310995137,,96.2442922374429
2016,Wirral Tranmere,7.88877218399131,,94.2964480874317
2017,Wirral Tranmere,6.89490078171978,,94.9200913242009
2018,Wirral Tranmere,8.37605787937743,,93.8812785388128
2019,Wirral Tranmere,8.01962722661319,,96.7694063926941
2009,Wigan Centre,14.3990343652371,,80.3881278538813
2010,Wigan Centre,19.7625719289467,,45.6278538812785
2011,Wigan Centre,NA,,0
2012,Wigan Centre,9,,74.077868852459
2013,Wigan Centre,12.8092948717949,,96.1643835616438
2014,Wigan Centre,14.2466323466323,,79.8287671232877
2015,Wigan Centre,10.7642867901792,,75.7876712328767
2016,Wigan Centre,10.5886758963436,,64.1393442622951
2017,Wigan Centre,10.1252115700392,,90.3767123287671
2018,Wigan Centre,11.6258557367416,,77.7054794520548
2019,Wigan Centre,9.55629313212928,,96.0730593607306
2009,York Bootham,12.3135622615331,,98.7328767123288
2010,York Bootham,13.5887577421994,,97.6826484018265
2011,York Bootham,16.701300924341,,66.689497716895
2012,York Bootham,10.1795640641218,,98.7135701275046
2013,York Bootham,11.4890686332818,,95.9703196347032
2014,York Bootham,12.4230473751601,,98.0707762557078
2015,York Bootham,10.1895759717314,,96.9178082191781
2016,York Bootham,9.80791800643087,,84.9726775956284
2017,York Bootham,8.73834484459793,,92.5570776255708
2018,York Bootham,10.7648584060222,,95.5365296803653
