id,nom_dept,nom_com,id_com,nom_station,code_station_ue,typologie,nom_poll,id_poll_ue,valeur,unite,metrique,date_debut,date_fin,statut_valid,x,y
119,SEINE-SAINT-DENIS,TREMBLAY-EN-FRANCE,93073,TREMBLAY-EN-FRANCE,4319,Periurb.,O3,7,47.3,ug.m-3,annuelle,1514761200000,1546297200000,1,668840,6872926
120,SEINE-ET-MARNE,MELUN,77288,MELUN,4069,Periurb.,O3,7,47.6,ug.m-3,annuelle,1514761200000,1546297200000,1,674983,6826940
121,YVELINES,FAVRIEUX,78231,MANTES-LA-JOLIE,4063,Periurb.,O3,7,50.3,ug.m-3,annuelle,1514761200000,1546297200000,1,605114,6878146
122,ESSONNE,GOMETZ-LE-CHATEL,91275,LES ULIS,4049,Periurb.,O3,7,59.4,ug.m-3,annuelle,1514761200000,1546297200000,1,638491,6842410
123,SEINE-ET-MARNE,VAUX-LE-PENIL,77487,MELUN,4069,Periurb.,O3,7,47.6,ug.m-3,annuelle,1514761200000,1546297200000,1,674983,6826940
124,YVELINES,MAGNANVILLE,78354,MANTES-LA-JOLIE,4063,Periurb.,O3,7,50.3,ug.m-3,annuelle,1514761200000,1546297200000,1,605114,6878146
125,YVELINES,MANTES-LA-JOLIE,78361,MANTES-LA-JOLIE,4063,Periurb.,O3,7,50.3,ug.m-3,annuelle,1514761200000,1546297200000,1,605114,6878146
126,SEINE-ET-MARNE,LIVRY-SUR-SEINE,77255,MELUN,4069,Periurb.,O3,7,47.6,ug.m-3,annuelle,1514761200000,1546297200000,1,674983,6826940
127,YVELINES,RAMBOUILLET,78517,Zone Rurale SO,4038,Rurale re.,O3,7,59.3,ug.m-3,annuelle,1514761200000,1546297200000,1,617586,6831928
128,ESSONNE,SAINT-JEAN-DE-BEAUREGARD,91560,LES ULIS,4049,Periurb.,O3,7,59.4,ug.m-3,annuelle,1514761200000,1546297200000,1,638491,6842410
