nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Puy-de-Dôme,Royat,63308,1514764800000,1546300800000,Royat,FR07001,périurbaine,fond,Dioxyde d'azote,8,µg/m3,,,,annuelle,6518341,703668,1
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Montferrand,FR07004,urbaine,fond,Dioxyde d'azote,8,µg/m3,18.5,t,t,annuelle,6521968,708842.3125,2
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Jardin Lecoq,FR07009,urbaine,fond,Dioxyde d'azote,8,µg/m3,19.2,t,t,annuelle,6519176.5,706799.9375,3
Allier,Paray-le-Frésil,03203,1514764800000,1546300800000,Paray le Fresil,FR07022,rurale régionale,fond,Dioxyde d'azote,8,µg/m3,3.2,t,t,annuelle,6617129.5,745935.5625,4
Puy-de-Dôme,Riom,63300,1514764800000,1546300800000,Riom,FR07032,urbaine,fond,Dioxyde d'azote,8,µg/m3,14,t,t,annuelle,6532730.5,708921.625,5
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Clermont-Esplanade Gare,FR07034,urbaine,trafic,Dioxyde d'azote,8,µg/m3,35.2,t,t,annuelle,6519569.5,707479.4375,6
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Site autoroutier A71,FR07042,urbaine,trafic,Dioxyde d'azote,8,µg/m3,34.6,t,t,annuelle,6520497,711110.625,7
Allier,Villeneuve-sur-Allier,03316,1514764800000,1546300800000,Villeneuve sur Allier,FR07048,périurbaine,trafic,Dioxyde d'azote,8,µg/m3,37,t,t,annuelle,6617695,719063.8125,8
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Beaulieu,FR07051,périurbaine,industrielle,Dioxyde d'azote,8,µg/m3,12.5,t,t,annuelle,6518833,712046.25,9
Cantal,Aurillac,15014,1514764800000,1546300800000,Aurillac-Lagarde,FR07052,urbaine,fond,Dioxyde d'azote,8,µg/m3,8.6,t,t,annuelle,6424698.5,655895.125,10
Puy-de-Dôme,Clermont-Ferrand,63113,1514764800000,1546300800000,Edouard Michelin,FR07053,urbaine,trafic,Dioxyde d'azote,8,µg/m3,35,t,t,annuelle,6520097,708670.875,11
Haute-Loire,Le Puy-en-Velay,43157,1514764800000,1546300800000,Le Puy-Causans,FR07054,urbaine,fond,Dioxyde d'azote,8,µg/m3,13.2,t,t,annuelle,6438143,769845,12
Allier,Moulins,03190,1514764800000,1546300800000,Moulins Centre,FR07057,urbaine,fond,Dioxyde d'azote,8,µg/m3,11.3,t,t,annuelle,6606939,726093.75,13
Allier,Montluçon,03185,1514764800000,1546300800000,Montluçon,FR07058,urbaine,fond,Dioxyde d'azote,8,µg/m3,14.6,t,t,annuelle,6582391.5,668768.9375,14
Allier,Vichy,03310,1514764800000,1546300800000,Vichy,FR07059,urbaine,fond,Dioxyde d'azote,8,µg/m3,13.6,t,t,annuelle,6559047,732867,15
Isère,Champ-sur-Drac,38071,1514764800000,1546300800000,Champ sur Drac,FR15013,périurbaine,fond,Dioxyde d'azote,8,µg/m3,14.7,t,t,annuelle,6445962.5,914668.125,16
Isère,Fontaine,38169,1514764800000,1546300800000,Fontaine Les Balmes,FR15017,urbaine,fond,Dioxyde d'azote,8,µg/m3,30.7,f,t,annuelle,6458159,910970.625,17
Isère,Voiron,38563,1514764800000,1546300800000,Voiron Urbain,FR15018,urbaine,fond,Dioxyde d'azote,8,µg/m3,16.5,t,t,annuelle,6476744,902696.5,18
Isère,Saint-Martin-d'Hères,38421,1514764800000,1546300800000,St Martin dHeres,FR15038,urbaine,fond,Dioxyde d'azote,8,µg/m3,23.6,t,t,annuelle,6457490.5,916190.875,19
Isère,Échirolles,38151,1514764800000,1546300800000,Le Rondeau,FR15039,urbaine,trafic,Dioxyde d'azote,8,µg/m3,40.3,t,t,annuelle,6454644,912411.125,20
Isère,Grenoble,38185,1514764800000,1546300800000,Grenoble Les Frenes,FR15043,urbaine,fond,Dioxyde d'azote,8,µg/m3,19.8,t,t,annuelle,6455123,914897.625,21
Isère,Vif,38545,1514764800000,1546300800000,Grenoble PeriurbSud,FR15045,périurbaine,fond,Dioxyde d'azote,8,µg/m3,10.8,t,t,annuelle,6443409.5,910664.3125,22
Isère,Grenoble,38185,1514764800000,1546300800000,Grenoble Boulevards,FR15046,urbaine,trafic,Dioxyde d'azote,8,µg/m3,43.5,t,t,annuelle,6457168,913649.8125,23
Isère,Crolles,38140,1514764800000,1546300800000,Gresivaudan Periurb,FR15048,périurbaine,fond,Dioxyde d'azote,8,µg/m3,14.8,t,t,annuelle,6468606.5,925931.5,24
Isère,Grenoble,38185,1514764800000,1546300800000,Grenoble Caserne de Bonne,FR15049,urbaine,fond,Dioxyde d'azote,8,µg/m3,23.3,t,t,annuelle,6457474,913997,25
Rhône,La Mulatière,69142,1514764800000,1546300800000,A7 SUD LYONNAIS,FR20013,périurbaine,trafic,Dioxyde d'azote,8,µg/m3,60.6,t,t,annuelle,6515040,841410.75,26
Rhône,Lyon,69123,1514764800000,1546300800000,GERLAND,FR20017,urbaine,fond,Dioxyde d'azote,8,µg/m3,29.6,t,t,annuelle,6516726.5,842281.625,27
Rhône,Villeurbanne,69266,1514764800000,1546300800000,GRANDCLEMENT,FR20019,urbaine,trafic,Dioxyde d'azote,8,µg/m3,34.4,t,t,annuelle,6519391,846606.6875,28
Rhône,Feyzin,69276,1514764800000,1546300800000,FEYZIN STADE,FR20029,périurbaine,industrielle,Dioxyde d'azote,8,µg/m3,30.6,f,t,annuelle,6508829.5,843719.0625,29
Rhône,Saint-Fons,69199,1514764800000,1546300800000,ST FONS CENTRE,FR20031,périurbaine,industrielle,Dioxyde d'azote,8,µg/m3,23.2,t,t,annuelle,6513737.5,845044.0625,30
Rhône,Ternay,69297,1514764800000,1546300800000,TERNAY,FR20037,périurbaine,fond,Dioxyde d'azote,8,µg/m3,18.9,t,t,annuelle,6501867.5,840474.375,31
