nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Puy-de-Dôme,Royat,63308,1483228800000,1514764800000,Royat,FR07001,périurbaine,fond,Ozone,7,µg/m3,59.9,t,t,annuelle,6518341,703668,1
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Montferrand,FR07004,urbaine,fond,Ozone,7,µg/m3,50.6,t,t,annuelle,6521968,708842.3125,2
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Jardin Lecoq,FR07009,urbaine,fond,Ozone,7,µg/m3,52.6,t,t,annuelle,6519176.5,706799.9375,3
Allier,Montluçon,03185,1483228800000,1514764800000,Montlucon Chateau,FR07013,urbaine,fond,Ozone,7,µg/m3,,,,annuelle,6582307.5,669618.8125,4
Puy-de-Dôme,Orcines,63263,1483228800000,1514764800000,Sommet du Puy de Dom,FR07015,rurale proche,fond,Ozone,7,µg/m3,88.2,t,t,annuelle,6519173.5,697247.625,5
Allier,Montluçon,03185,1483228800000,1514764800000,Montlucon Hippodrome,FR07016,périurbaine,fond,Ozone,7,µg/m3,,,,annuelle,6580532,669302.1875,6
Allier,Busset,03045,1483228800000,1514764800000,Busset,FR07020,rurale régionale,fond,Ozone,7,µg/m3,62.5,t,t,annuelle,6551298,739824.1875,7
Allier,Paray-le-Frésil,03203,1483228800000,1514764800000,Paray le Fresil,FR07022,rurale régionale,fond,Ozone,7,µg/m3,53.1,t,t,annuelle,6617129.5,745935.5625,8
Haute-Loire,Sembadel,43237,1483228800000,1514764800000,Sembadel,FR07029,rurale régionale,fond,Ozone,7,µg/m3,,,,annuelle,6464165.5,753940.9375,9
Cantal,Rageade,15158,1483228800000,1514764800000,Rageade,FR07031,rurale régionale,fond,Ozone,7,µg/m3,77.7,t,t,annuelle,6445088,721814.9375,10
Puy-de-Dôme,Riom,63300,1483228800000,1514764800000,Riom,FR07032,urbaine,fond,Ozone,7,µg/m3,54.7,t,t,annuelle,6532730.5,708921.625,11
Puy-de-Dôme,Issoire,63178,1483228800000,1514764800000,Issoire Ecole Centre,FR07045,urbaine,fond,Ozone,7,µg/m3,52.3,t,f,annuelle,6493968.5,719324.8125,12
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Beaulieu,FR07051,périurbaine,industrielle,Ozone,7,µg/m3,52.9,t,t,annuelle,6518833,712046.25,13
Cantal,Aurillac,15014,1483228800000,1514764800000,Aurillac-Lagarde,FR07052,urbaine,fond,Ozone,7,µg/m3,60,t,t,annuelle,6424698.5,655895.125,14
Haute-Loire,Le Puy-en-Velay,43157,1483228800000,1514764800000,Le Puy-Causans,FR07054,urbaine,fond,Ozone,7,µg/m3,49.3,t,t,annuelle,6438143,769845,15
Haute-Loire,Fay-sur-Lignon,43092,1483228800000,1514764800000,Fay-sur-Lignon,FR07055,rurale régionale,fond,Ozone,7,µg/m3,,,,annuelle,6432441.5,796637.5625,16
Haute-Loire,Fay-sur-Lignon,43092,1483228800000,1514764800000,Pays du Mezenc,FR07056,rurale régionale,fond,Ozone,7,µg/m3,75.9,t,t,annuelle,6432366.5,796632.625,17
Allier,Moulins,03190,1483228800000,1514764800000,Moulins Centre,FR07057,urbaine,fond,Ozone,7,µg/m3,53.1,t,t,annuelle,6606939,726093.75,18
Isère,Champ-sur-Drac,38071,1483228800000,1514764800000,Champ sur Drac,FR15013,périurbaine,fond,Ozone,7,µg/m3,50.5,t,t,annuelle,6445962.5,914668.125,19
Isère,Fontaine,38169,1483228800000,1514764800000,Fontaine Les Balmes,FR15017,urbaine,fond,Ozone,7,µg/m3,48.7,t,t,annuelle,6458159,910970.625,20
Isère,Voiron,38563,1483228800000,1514764800000,Voiron Urbain,FR15018,urbaine,fond,Ozone,7,µg/m3,47,t,t,annuelle,6476744,902696.5,21
Hautes-Alpes,Le Monêtier-les-Bains,05079,1483228800000,1514764800000,Le Casset2,FR15031,rurale nationale,fond,Ozone,7,µg/m3,94.8,t,t,annuelle,6439091.5,973313.25,22
Isère,Saint-Martin-d'Hères,38421,1483228800000,1514764800000,St Martin dHeres,FR15038,urbaine,fond,Ozone,7,µg/m3,42.7,t,t,annuelle,6457490.5,916190.875,23
Isère,Grenoble,38185,1483228800000,1514764800000,Grenoble Les Frenes,FR15043,urbaine,fond,Ozone,7,µg/m3,42.9,t,t,annuelle,6455123,914897.625,24
Isère,Vif,38545,1483228800000,1514764800000,Grenoble PeriurbSud,FR15045,périurbaine,fond,Ozone,7,µg/m3,53,t,t,annuelle,6443409.5,910664.3125,25
Isère,Crolles,38140,1483228800000,1514764800000,Gresivaudan Periurb,FR15048,périurbaine,fond,Ozone,7,µg/m3,43.8,t,t,annuelle,6468606.5,925931.5,26
Isère,Grenoble,38185,1483228800000,1514764800000,Grenoble Caserne de Bonne,FR15049,urbaine,fond,Ozone,7,µg/m3,44.8,t,t,annuelle,6457474,913997,27
Rhône,Lyon,69123,1483228800000,1514764800000,ST JUST,FR20004,urbaine,fond,Ozone,7,µg/m3,20,f,t,annuelle,6518933,841494.6875,28
Rhône,Lyon,69123,1483228800000,1514764800000,GERLAND,FR20017,urbaine,fond,Ozone,7,µg/m3,43.8,t,t,annuelle,6516726.5,842281.625,29
Rhône,Ternay,69297,1483228800000,1514764800000,TERNAY,FR20037,périurbaine,fond,Ozone,7,µg/m3,50.1,f,t,annuelle,6501867.5,840474.375,30
Rhône,Genas,69277,1483228800000,1514764800000,GENAS,FR20045,périurbaine,fond,Ozone,7,µg/m3,48.5,t,t,annuelle,6516610,853992.3125,31
Rhône,Vaulx-en-Velin,69256,1483228800000,1514764800000,VAULX EN VELIN,FR20046,urbaine,fond,Ozone,7,µg/m3,47.9,t,t,annuelle,6521743,849541.875,32
Ain,Miribel,01249,1483228800000,1514764800000,COTIERE AIN,FR20047,périurbaine,fond,Ozone,7,µg/m3,52.9,t,t,annuelle,6526719.5,851692.875,33
Rhône,Pusignan,69285,1483228800000,1514764800000,SAINT EXUPERY,FR20048,périurbaine,fond,Ozone,7,µg/m3,58.4,t,t,annuelle,6519362.5,860928.375,34
Rhône,Dième,69075,1483228800000,1514764800000,HAUT BEAUJOLAIS,FR20049,rurale proche,fond,Ozone,7,µg/m3,67.6,t,t,annuelle,6541242,813508.75,35
Rhône,Villefranche-sur-Saône,69264,1483228800000,1514764800000,VILLEFRANCHE Village,FR20061,urbaine,fond,Ozone,7,µg/m3,43.8,t,t,annuelle,6544410.5,833082.625,36
Rhône,Lyon,69123,1483228800000,1514764800000,LYON Centre,FR20062,urbaine,fond,Ozone,7,µg/m3,50.1,t,t,annuelle,6519290,844083.4375,37
Isère,Roussillon,38344,1483228800000,1514764800000,ROUSSILLON,FR27002,urbaine,fond,Ozone,7,µg/m3,47.7,t,t,annuelle,6475884.5,841298.3125,38
Isère,Les Roches-de-Condrieu,38340,1483228800000,1514764800000,ROCHES DE CONDRIEU,FR27003,périurbaine,industrielle,Ozone,7,µg/m3,52.5,t,t,annuelle,6485441.5,838060.5,39
