nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Isère,Grenoble,38185,1451606400000,1483228800000,Grenoble Les Frenes,FR15043,urbaine,fond,Dioxyde de soufre,1,µg/m3,1,t,t,annuelle,6455123,914897.625,1
Rhône,Feyzin,69276,1451606400000,1483228800000,FEYZIN STADE,FR20029,périurbaine,industrielle,Dioxyde de soufre,1,µg/m3,3,t,t,annuelle,6508829.5,843719.0625,2
Rhône,Saint-Fons,69199,1451606400000,1483228800000,ST FONS CENTRE,FR20031,périurbaine,industrielle,Dioxyde de soufre,1,µg/m3,1,t,t,annuelle,6513737.5,845044.0625,3
Rhône,Pierre-Bénite,69152,1451606400000,1483228800000,PIERRE BENITE,FR20034,périurbaine,industrielle,Dioxyde de soufre,1,µg/m3,3,t,t,annuelle,6512756,842365.8125,4
Rhône,Vénissieux,69259,1451606400000,1483228800000,VENISSIEUX Village,FR20060,périurbaine,industrielle,Dioxyde de soufre,1,µg/m3,0,t,t,annuelle,6513306.5,846548.625,5
Rhône,Lyon,69123,1451606400000,1483228800000,LYON Centre,FR20062,urbaine,fond,Dioxyde de soufre,1,µg/m3,1,t,t,annuelle,6519290,844083.4375,6
Isère,Les Roches-de-Condrieu,38340,1451606400000,1483228800000,ROCHES DE CONDRIEU,FR27003,périurbaine,industrielle,Dioxyde de soufre,1,µg/m3,8,t,t,annuelle,6485441.5,838060.5,7
Loire,Saint-Étienne,42218,1451606400000,1483228800000,SAINT ETIENNE SUD,FR29424,urbaine,fond,Dioxyde de soufre,1,µg/m3,1,t,t,annuelle,6481038,809128.1875,8
Savoie,Saint-Jean-de-Maurienne,73248,1451606400000,1483228800000,SAINT JEAN,FR33111,urbaine,fond,Dioxyde de soufre,1,µg/m3,7,t,t,annuelle,6469500.5,962582.875,9
Savoie,Saint-Julien-Mont-Denis,73250,1451606400000,1483228800000,St Julien trafic,FR33114,urbaine,trafic,Dioxyde de soufre,1,µg/m3,11,t,t,annuelle,6467202,966393.5625,10
Haute-Savoie,Saint-Germain-sur-Rhône,74235,1451606400000,1483228800000,St Germain/Rhône,FR33302,rurale proche,fond,Dioxyde de soufre,1,µg/m3,1,t,t,annuelle,6556388.5,917979.6875,11
Ardèche,Saint-Bauzile,07219,1451606400000,1483228800000,Saint Bauzile CECA,FR36007,rurale régionale,industrielle,Dioxyde de soufre,1,µg/m3,4,t,t,annuelle,6398831,832630.4375,12
