nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Jardin Lecoq,FR07009,urbaine,fond,Particules PM10,5,µg/m3,15.3,t,t,annuelle,6519176.5,706799.9375,1
Allier,Paray-le-Frésil,03203,1483228800000,1514764800000,Paray le Fresil,FR07022,rurale régionale,fond,Particules PM10,5,µg/m3,11,t,t,annuelle,6617129.5,745935.5625,2
Puy-de-Dôme,Les Ancizes-Comps,63004,1483228800000,1514764800000,Les Ancizes,FR07028,périurbaine,industrielle,Particules PM10,5,µg/m3,9.9,t,t,annuelle,6536640.5,686811.3125,3
Cantal,Rageade,15158,1483228800000,1514764800000,Rageade,FR07031,rurale régionale,fond,Particules PM10,5,µg/m3,,,,annuelle,6445088,721814.9375,4
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Clermont-Esplanade Gare,FR07034,urbaine,trafic,Particules PM10,5,µg/m3,18.2,t,t,annuelle,6519569.5,707479.4375,5
Puy-de-Dôme,Chamalières,63075,1483228800000,1514764800000,Chamalières Europe,FR07039,urbaine,trafic,Particules PM10,5,µg/m3,15.1,t,t,annuelle,6519464.5,704893.5625,6
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Site autoroutier A71,FR07042,urbaine,trafic,Particules PM10,5,µg/m3,16.9,t,t,annuelle,6520497,711110.625,7
Puy-de-Dôme,Issoire,63178,1483228800000,1514764800000,Issoire Ecole Centre,FR07045,urbaine,fond,Particules PM10,5,µg/m3,15,t,f,annuelle,6493968.5,719324.8125,8
Puy-de-Dôme,Clermont-Ferrand,63113,1483228800000,1514764800000,Beaulieu,FR07051,périurbaine,industrielle,Particules PM10,5,µg/m3,14.8,t,t,annuelle,6518833,712046.25,9
Cantal,Aurillac,15014,1483228800000,1514764800000,Aurillac-Lagarde,FR07052,urbaine,fond,Particules PM10,5,µg/m3,10.8,t,t,annuelle,6424698.5,655895.125,10
Haute-Loire,Le Puy-en-Velay,43157,1483228800000,1514764800000,Le Puy-Causans,FR07054,urbaine,fond,Particules PM10,5,µg/m3,15.2,t,t,annuelle,6438143,769845,11
Haute-Loire,Fay-sur-Lignon,43092,1483228800000,1514764800000,Pays du Mezenc,FR07056,rurale régionale,fond,Particules PM10,5,µg/m3,7.1,t,t,annuelle,6432366.5,796632.625,12
Allier,Moulins,03190,1483228800000,1514764800000,Moulins Centre,FR07057,urbaine,fond,Particules PM10,5,µg/m3,,,,annuelle,6606939,726093.75,13
Isère,Fontaine,38169,1483228800000,1514764800000,Fontaine Les Balmes,FR15017,urbaine,fond,Particules PM10,5,µg/m3,19.1,t,t,annuelle,6458159,910970.625,14
Isère,Voiron,38563,1483228800000,1514764800000,Voiron Urbain,FR15018,urbaine,fond,Particules PM10,5,µg/m3,18.1,t,t,annuelle,6476744,902696.5,15
Isère,Saint-Martin-d'Hères,38421,1483228800000,1514764800000,St Martin dHeres,FR15038,urbaine,fond,Particules PM10,5,µg/m3,20.2,t,t,annuelle,6457490.5,916190.875,16
Isère,Échirolles,38151,1483228800000,1514764800000,Le Rondeau,FR15039,urbaine,trafic,Particules PM10,5,µg/m3,28.9,t,t,annuelle,6454644,912411.125,17
Isère,Grenoble,38185,1483228800000,1514764800000,Grenoble Les Frenes,FR15043,urbaine,fond,Particules PM10,5,µg/m3,19.7,t,f,annuelle,6455123,914897.625,18
Isère,Vif,38545,1483228800000,1514764800000,Grenoble PeriurbSud,FR15045,périurbaine,fond,Particules PM10,5,µg/m3,16.6,t,t,annuelle,6443409.5,910664.3125,19
Isère,Grenoble,38185,1483228800000,1514764800000,Grenoble Boulevards,FR15046,urbaine,trafic,Particules PM10,5,µg/m3,29.2,f,t,annuelle,6457168,913649.8125,20
Isère,Crolles,38140,1483228800000,1514764800000,Gresivaudan Periurb,FR15048,périurbaine,fond,Particules PM10,5,µg/m3,19.1,t,t,annuelle,6468606.5,925931.5,21
Isère,Grenoble,38185,1483228800000,1514764800000,Grenoble Caserne de Bonne,FR15049,urbaine,fond,Particules PM10,5,µg/m3,19.6,t,t,annuelle,6457474,913997,22
Rhône,La Mulatière,69142,1483228800000,1514764800000,A7 SUD LYONNAIS,FR20013,périurbaine,trafic,Particules PM10,5,µg/m3,30,t,t,annuelle,6515040,841410.75,23
Rhône,Lyon,69123,1483228800000,1514764800000,GERLAND,FR20017,urbaine,fond,Particules PM10,5,µg/m3,24.8,t,t,annuelle,6516726.5,842281.625,24
Rhône,Villeurbanne,69266,1483228800000,1514764800000,GRANDCLEMENT,FR20019,urbaine,trafic,Particules PM10,5,µg/m3,22.9,t,t,annuelle,6519391,846606.6875,25
Rhône,Feyzin,69276,1483228800000,1514764800000,FEYZIN STADE,FR20029,périurbaine,industrielle,Particules PM10,5,µg/m3,22.4,t,t,annuelle,6508829.5,843719.0625,26
Rhône,Saint-Fons,69199,1483228800000,1514764800000,ST FONS CENTRE,FR20031,périurbaine,industrielle,Particules PM10,5,µg/m3,21.6,t,t,annuelle,6513737.5,845044.0625,27
Rhône,Ternay,69297,1483228800000,1514764800000,TERNAY,FR20037,périurbaine,fond,Particules PM10,5,µg/m3,21.5,t,t,annuelle,6501867.5,840474.375,28
Rhône,Genas,69277,1483228800000,1514764800000,GENAS,FR20045,périurbaine,fond,Particules PM10,5,µg/m3,20.6,t,t,annuelle,6516610,853992.3125,29
Rhône,Vaulx-en-Velin,69256,1483228800000,1514764800000,VAULX EN VELIN,FR20046,urbaine,fond,Particules PM10,5,µg/m3,20.6,t,t,annuelle,6521743,849541.875,30
Ain,Miribel,01249,1483228800000,1514764800000,COTIERE AIN,FR20047,périurbaine,fond,Particules PM10,5,µg/m3,19.5,t,t,annuelle,6526719.5,851692.875,31
Rhône,Pusignan,69285,1483228800000,1514764800000,SAINT EXUPERY,FR20048,périurbaine,fond,Particules PM10,5,µg/m3,19.8,t,t,annuelle,6519362.5,860928.375,32
