FECHA;GERENCIA;NOMBREGERENCIA;CS;CENTRO;PREVALENCIA;TASAx100;x_geo;y_geo;zbs_geo;PROVINCIA
2020-05-11;1706;Gerencia de Salamanca;170633;C.S. VILLORIA;107;2.653769841;-5.3715956;41.0345487;VILLORIA;Salamanca
2020-05-11;1706;Gerencia de Salamanca;170636;C.S. SAN JUAN;294;1.907604464;-5.6596496;40.9722411;SAN JUAN;Salamanca
2020-05-11;1707;Gerencia de Segovia;170702;C.S. CARBONERO EL MAYOR;177;1.908767389;-4.1840569;41.1764848;CARBONERO EL MAYOR;Segovia
2020-05-11;1707;Gerencia de Segovia;170707;C.S. RIAZA;23;0.527643955;-3.4554609;41.3634767;RIAZA;Segovia
2020-05-11;1707;Gerencia de Segovia;170708;C.S. SEGOVIA I;311;1.401595385;-4.114543;40.9380492;SEGOVIA I;Segovia
2020-05-11;1707;Gerencia de Segovia;170709;C.S. SEGOVIA II;409;2.25207863;-4.1068163;40.9420283;SEGOVIA II;Segovia
2020-05-11;1707;Gerencia de Segovia;170710;C.S. SEGOVIA III;428;2.794645772;-4.120243;40.94888;SEGOVIA III;Segovia
2020-05-11;1707;Gerencia de Segovia;170711;C.S. SEGOVIA RURAL;675;3.141726786;-4.2108946;40.9408168;SEGOVIA RURAL;Segovia
2020-05-11;1707;Gerencia de Segovia;170712;C.S. SEPULVEDA;12;0.418410042;-3.712417;41.329873;SEPULVEDA;Segovia
2020-05-11;1708;Gerencia de Soria;170805;C.S. EL BURGO DE OSMA;119;2.162063953;-3.0173364;41.5822815;EL BURGO DE OSMA;Soria
2020-05-11;1708;Gerencia de Soria;170809;C.S. PINARES-COVALEDA;96;2.869955157;-2.819235;41.9661517;PINARES-COVALEDA;Soria
2020-05-11;1708;Gerencia de Soria;170810;C.S. SAN LEONARDO YAGÜE;17;0.445843168;-3.1059501;41.8083737;SAN LEONARDO YAGÜE;Soria
2020-05-11;1708;Gerencia de Soria;170811;C.S. SORIA RURAL;174;2.380626625;-2.5494153;41.7928658;SORIA RURAL;Soria
2020-05-11;1708;Gerencia de Soria;170813;C.S. SORIA NORTE;557;2.35031014;-2.4772902;41.7676962;SORIA NORTE;Soria
2020-05-11;1709;Gerencia de Valladolid Oeste;170914;C.S. MOTA DEL MARQUES;7;0.372538584;-5.2237315;41.6665615;MOTA DEL MARQUES;Valladolid
2020-05-11;1709;Gerencia de Valladolid Oeste;170924;C.S. VILLAFRECHOS;23;1.065308013;-5.2179261;41.8799318;VILLAFRECHOS;Valladolid
2020-05-11;1710;Gerencia de Valladolid Este;171001;C.S. BARRIO ESPAÑA;63;1.060249074;-4.7052252;41.675017;BARRIO ESPAÑA;Valladolid
2020-05-11;1710;Gerencia de Valladolid Este;171002;C.S. ESGUEVILLAS;9;0.683371298;-4.3018078;41.7366601;ESGUEVILLAS;Valladolid
2020-05-11;1710;Gerencia de Valladolid Este;171010;C.S. CIRCULAR;213;1.533256551;-4.7175863;41.6487178;CIRCULAR;Valladolid
2020-05-11;1710;Gerencia de Valladolid Este;171017;C.S. SERRADA;64;1.203459947;-4.8411889;41.4508581;SERRADA;Valladolid
2020-05-07;1710;Gerencia de Valladolid Este;171007;C.S. MAGDALENA;166;1.800238586;-4.7117729;41.6599262;MAGDALENA;Valladolid
2020-05-07;1710;Gerencia de Valladolid Este;171015;C.S. PEÑAFIEL;63;0.669998937;-4.1875837;41.5834053;PEÑAFIEL;Valladolid
2020-05-07;1710;Gerencia de Valladolid Este;171024;C.S. GAMAZO;426;2.335270255;-4.7262911;41.6498853;GAMAZO;Valladolid
2020-05-07;1711;Gerencia de Zamora;171102;C.S. ALCAÑICES;12;0.260642919;-6.3315738;41.7589564;ALCAÑICES;Zamora
2020-05-07;1711;Gerencia de Zamora;171106;C.S. CAMARZANA DE TERA;6;0.197433366;-6.0366846;41.9912912;CAMARZANA DE TERA;Zamora
2020-05-07;1711;Gerencia de Zamora;171107;C.S. VILLARRIN;8;0.268276325;-5.6350913;41.766661;VILLARRIN;Zamora
2020-05-07;1711;Gerencia de Zamora;171120;C.S. VIRGEN DE LA CONCHA;249;1.215939057;-5.7331438;41.5156123;VIRGEN DE LA CONCHA;Zamora
2020-05-08;1701;Gerencia de Ávila;170106;C.S. LANZAHITA;72;2.619134231;-4.8974015;40.2409102;LANZAHITA;Ávila
2020-05-08;1701;Gerencia de Ávila;170113;C.S. NAVARREDONDA GREDOS;12;0.840336134;-5.1468286;40.3763715;NAVARREDONDA GREDOS;Ávila
