nom_dept,nom_com,id_com,date_debut,date_fin,nom_station,code_station,typologie,influence,nom_poll,id_poll_ue,unite,valeur,validite,validation,metrique,yl93,xl93,OBJECTID
Allier,Paray-le-Frésil,03203,1451606400000,1483228800000,Paray le Fresil,FR07022,rurale régionale,fond,Oxydes d'azote,9,µg/m3,4,t,t,annuelle,6617129.5,745935.5625,1
Rhône,Dième,69075,1451606400000,1483228800000,HAUT BEAUJOLAIS,FR20049,rurale proche,fond,Oxydes d'azote,9,µg/m3,6,t,t,annuelle,6541242,813508.75,2
Isère,Lieudieu,38211,1451606400000,1483228800000,Plateau de Bonnevaux,FR27010,rurale régionale,fond,Oxydes d'azote,9,µg/m3,10,t,t,annuelle,6486960,870432.25,3
Loire,Roisey,42191,1451606400000,1483228800000,COL_OEILLON,FR29440,rurale régionale,fond,Oxydes d'azote,9,µg/m3,4,t,t,annuelle,6477979,826431.1875,4
Haute-Savoie,Saint-Germain-sur-Rhône,74235,1451606400000,1483228800000,St Germain/Rhône,FR33302,rurale proche,fond,Oxydes d'azote,9,µg/m3,10,t,t,annuelle,6556388.5,917979.6875,5
Drôme,Saint-Nazaire-le-Désert,26321,1451606400000,1483228800000,Drôme Rurale Sud-SND,FR36021,rurale nationale,fond,Oxydes d'azote,9,µg/m3,4,t,t,annuelle,6388207,880936.6875,6
